model_name,acc,css,css_err_low,css_err_high,target_foil_bias
alexnet_in1k_v1_7be5be79,0.3125,0.0555555555555555,0.0347222222222222,0.0416666666666666,0.5590169943749475
alexnet_in1k_v1_7be5be79_untrained,0.125,0.0,0.0,0.0,0.3535533905932738
alexnet_lrm3_pass1,0.2708333333333333,0.0555555555555555,0.0347222222222222,0.0416666666666666,0.5204164998665332
alexnet_lrm3_pass2,0.2916666666666667,0.0416666666666666,0.0277777777777777,0.0347222222222222,0.5400617248673217
alexnet_lrm3_pass3,0.2986111111111111,0.0416666666666666,0.0277777777777777,0.0347222222222222,0.5464532103585
alexnet_stylized,0.3888888888888889,0.0694444444444444,0.0347222222222222,0.0416666666666666,0.6236095644623235
beit_base_patch16_224_in22k_ft_in22k_in1k,0.6666666666666666,0.4027777777777778,0.0833333333333333,0.0833333333333333,0.816496580927726
beit_large_patch16_224_in22k_ft_in22k_in1k,0.8194444444444444,0.6388888888888888,0.0833333333333332,0.0765624999999998,0.905231707600018
beitv2_base_patch16_224_in1k_ft_in1k,0.75,0.5,0.0763888888888889,0.0833333333333333,0.8660254037844386
beitv2_base_patch16_224_in1k_ft_in22k_in1k,0.7638888888888888,0.5555555555555556,0.0833333333333333,0.0833333333333332,0.8740073734751262
beitv2_large_patch16_224_in1k_ft_in1k,0.8263888888888888,0.6666666666666666,0.0833333333333332,0.0763888888888889,0.9090593428863096
beitv2_large_patch16_224_in1k_ft_in22k_in1k,0.8125,0.6388888888888888,0.0763888888888888,0.0765624999999998,0.9013878188659972
convnext_base_fb_in1k,0.6527777777777778,0.3611111111111111,0.0765624999999999,0.0833333333333333,0.8079466429027216
convnextv2_base_fcmae_ft_in1k,0.7361111111111112,0.5,0.0833333333333333,0.0763888888888888,0.8579691784155834
convnextv2_huge_fcmae_ft_in1k,0.8263888888888888,0.6527777777777778,0.0833333333333333,0.0763888888888888,0.9090593428863096
cornet_r_dicarlo,0.4027777777777778,0.0972222222222222,0.0416666666666666,0.0486111111111111,0.6346477588219923
cornet_rt_dicarlo,0.3680555555555556,0.0555555555555555,0.0347222222222222,0.0416666666666666,0.6066758241067098
cornet_s_dicarlo,0.5,0.1388888888888889,0.0555555555555555,0.0625,0.7071067811865475
cornet_z_dicarlo,0.2708333333333333,0.0138888888888888,0.0138888888888888,0.0208333333333333,0.5204164998665333
dinov2_vitb14_lc,0.8055555555555556,0.6111111111111112,0.0763888888888889,0.0763888888888888,0.8975274678557507
dinov2_vitb14_reg_lc,0.7777777777777778,0.5694444444444444,0.0833333333333333,0.0763888888888889,0.8819171036881968
dinov2_vitg14_lc,0.8819444444444444,0.7777777777777778,0.0625,0.0694444444444444,0.9391189724653872
dinov2_vitg14_reg_lc,0.9097222222222222,0.8194444444444444,0.0694444444444444,0.0625,0.9537935951882998
dinov2_vitl14_lc,0.8472222222222222,0.7083333333333334,0.0763888888888889,0.0694444444444444,0.9204467514322716
dinov2_vitl14_reg_lc,0.8888888888888888,0.7777777777777778,0.0694444444444444,0.0625,0.9428090415820634
dinov2_vits14_lc,0.6875,0.4305555555555556,0.0765624999999999,0.0763888888888888,0.82915619758885
dinov2_vits14_reg_lc,0.7222222222222222,0.4861111111111111,0.0763888888888889,0.0833333333333333,0.8498365855987975
efficientformer_l1_snap_dist_in1k,0.5694444444444444,0.2083333333333333,0.0626736111111111,0.0694444444444444,0.754615428178118
eva_giant_patch14_224_clip_ft_in1k,0.8888888888888888,0.7777777777777778,0.0694444444444444,0.0694444444444444,0.9428090415820634
hiera_base_224_mae_in1k_ft_in1k,0.7152777777777778,0.4583333333333333,0.0763888888888889,0.0833333333333333,0.8457409637576849
hiera_huge_224_mae_in1k_ft_in1k,0.8472222222222222,0.7083333333333334,0.0833333333333333,0.0763888888888888,0.9204467514322716
hiera_large_224_mae_in1k_ft_in1k,0.7638888888888888,0.5833333333333334,0.0833333333333333,0.0765624999999997,0.8740073734751262
hiera_small_224_mae_in1k_ft_in1k,0.6527777777777778,0.375,0.0763888888888889,0.0696180555555553,0.8079466429027216
hiera_tiny_224_mae_in1k_ft_in1k,0.625,0.2916666666666667,0.0694444444444444,0.0833333333333333,0.7905694150420949
human,0.9479166666666664,0.8958333333333334,0.0,0.0,0.9735888901198344
hybrid_anime_alexnet_sgd_lr005,0.4444444444444444,0.125,0.0486111111111111,0.0555555555555555,0.6666666666666667
resnet101_a1h_in1k,0.6458333333333334,0.3472222222222222,0.0763888888888889,0.0833333333333333,0.8036375634160795
