model_name,acc,css,css_err_low,css_err_high,target_foil_bias
alexnet_in1k_v1_7be5be79,0.2850694444444444,0.0493055555555555,0.0079861111111111,0.0079861111111111,0.5339189493213782
alexnet_in1k_v1_7be5be79_untrained,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333
alexnet_lrm3_pass1,0.3142361111111111,0.0694444444444444,0.0090277777777777,0.0090277777777777,0.5605676686280713
alexnet_lrm3_pass2,0.3260416666666667,0.0770833333333333,0.009375,0.0107638888888888,0.5710005837708633
alexnet_lrm3_pass3,0.3486111111111111,0.0847222222222222,0.0104166666666666,0.0104166666666666,0.5904329861306117
alexnet_stylized,0.434375,0.1597222222222222,0.0128472222222222,0.0128559027777777,0.6590713163232034
beit_base_patch16_224_in22k_ft_in22k_in1k,0.7454861111111111,0.5152777777777777,0.017361111111111,0.0187586805555556,0.8634153757671397
beit_large_patch16_224_in22k_ft_in22k_in1k,0.8684027777777777,0.7395833333333334,0.015625,0.0159722222222221,0.9318813109928634
beitv2_base_patch16_224_in1k_ft_in1k,0.8142361111111112,0.6388888888888888,0.0156336805555555,0.0184027777777778,0.902350326154488
beitv2_base_patch16_224_in1k_ft_in22k_in1k,0.8100694444444444,0.6284722222222222,0.0187586805555555,0.0180555555555556,0.9000385794200404
beitv2_large_patch16_224_in1k_ft_in1k,0.8763888888888889,0.7548611111111111,0.0159722222222221,0.0149392361111111,0.9361564446655746
beitv2_large_patch16_224_in1k_ft_in22k_in1k,0.8871527777777778,0.7743055555555556,0.0163194444444444,0.0152777777777777,0.9418878796214428
convnext_base_fb_in1k,0.7392361111111111,0.5041666666666667,0.0184114583333332,0.0180642361111111,0.8597884106634092
convnextv2_base_fcmae_ft_in1k,0.7909722222222222,0.5979166666666667,0.0170225694444444,0.0180555555555556,0.8893661912970507
convnextv2_huge_fcmae_ft_in1k,0.8767361111111112,0.7569444444444444,0.0159722222222221,0.015625,0.9363418772601764
cornet_r_dicarlo,0.3885416666666667,0.0944444444444444,0.0104166666666666,0.0104253472222222,0.6233311051653581
cornet_rt_dicarlo,0.3559027777777778,0.0819444444444444,0.0097222222222222,0.0100781249999999,0.5965758776365148
cornet_s_dicarlo,0.5201388888888889,0.2104166666666666,0.0152777777777777,0.015625,0.7212065507806268
cornet_z_dicarlo,0.2708333333333333,0.0416666666666666,0.0072916666666666,0.0072916666666666,0.5204164998665332
dinov2_vitb14_lc,0.8645833333333334,0.7375,0.0152777777777778,0.0166666666666666,0.9298297335175584
dinov2_vitb14_reg_lc,0.8704861111111111,0.75,0.0163194444444444,0.015625,0.9329984518267492
dinov2_vitg14_lc,0.9243055555555556,0.85,0.0132118055555554,0.0135416666666666,0.961408110822639
dinov2_vitg14_reg_lc,0.9392361111111112,0.8791666666666667,0.0118055555555555,0.0114583333333333,0.969141945801084
dinov2_vitl14_lc,0.9118055555555556,0.8284722222222223,0.0142447916666667,0.0138888888888888,0.954885100708748
dinov2_vitl14_reg_lc,0.9375,0.8763888888888889,0.0121527777777777,0.011814236111111,0.9682458365518544
dinov2_vits14_lc,0.7645833333333333,0.5611111111111111,0.0184114583333333,0.0184027777777777,0.8744045593049783
dinov2_vits14_reg_lc,0.7704861111111111,0.5625,0.01875,0.0177083333333333,0.877773382548771
efficientformer_l1_snap_dist_in1k,0.6065972222222222,0.29375,0.0163281249999999,0.018064236111111,0.7788435158760855
eva_giant_patch14_224_clip_ft_in1k,0.9246527777777778,0.8506944444444444,0.0135416666666666,0.0135503472222222,0.9615886739026088
hiera_base_224_mae_in1k_ft_in1k,0.7506944444444444,0.5222222222222223,0.0184114583333333,0.017361111111111,0.8664262487046687
hiera_huge_224_mae_in1k_ft_in1k,0.8611111111111112,0.7270833333333333,0.016328125,0.015625,0.927960727138337
hiera_large_224_mae_in1k_ft_in1k,0.8336805555555555,0.6736111111111112,0.0180555555555556,0.0177083333333333,0.9130610908124142
hiera_small_224_mae_in1k_ft_in1k,0.6635416666666667,0.3819444444444444,0.0177170138888888,0.0177083333333333,0.814580669219855
hiera_tiny_224_mae_in1k_ft_in1k,0.6416666666666667,0.3409722222222222,0.0166666666666666,0.0170138888888888,0.801040989379861
human,0.9479166666666669,0.8958333333333334,0.0,0.0,0.9735888901198344
hybrid_anime_alexnet_sgd_lr005,0.4524305555555555,0.1548611111111111,0.0135416666666666,0.0131944444444444,0.6726295827240694
resnet101_a1h_in1k,0.6819444444444445,0.4076388888888889,0.0184114583333332,0.0166666666666666,0.8257992761224997
resnet101_in1k,0.6024305555555556,0.2986111111111111,0.0152864583333333,0.0173611111111111,0.7761640004248815
resnet101_in1k_untrained,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333
resnet50_a1_in1k,0.59375,0.2770833333333333,0.0166753472222221,0.0159722222222222,0.770551750371122
resnet50_bagnet17,0.2909722222222222,0.0354166666666666,0.0065972222222222,0.0065972222222222,0.5394184110894086
resnet50_bagnet33,0.3555555555555555,0.0631944444444444,0.0090277777777777,0.0090277777777777,0.5962847939999439
resnet50_bagnet9,0.2013888888888889,0.0090277777777777,0.0034722222222222,0.0034722222222222,0.4487637339278753
resnet50_fb_ssl_yfcc100m_ft_in1k,0.6770833333333334,0.4125,0.0184114583333332,0.0177083333333333,0.8228507357554792
resnet50_fb_swsl_ig1b_ft_in1k,0.81875,0.6541666666666667,0.0159809027777778,0.0166666666666666,0.9048480535426928
resnet50_in1k,0.5496527777777778,0.2305555555555555,0.0142447916666666,0.0138888888888888,0.7413857145762776
resnet50_in1k_untrained,0.1069444444444444,0.0034722222222222,0.0017361111111111,0.0024305555555555,0.3270236145058097
resnet50_stylized,0.6239583333333333,0.3486111111111111,0.0166753472222221,0.0177083333333333,0.789910332463966
